chapter_ID	end_ID
42009	42009062
42010	42010042
42011	42011054
42012	42012059
42013	42013035
42014	42014035
42015	42015032
42016	42016031
42017	42017037
42018	42018043
42019	42019048
42020	42020047
42021	42021038
42022	42022071
42023	42023056
42024	42024053
43001	43001051
43002	43002025
43003	43003036
43004	43004054
43005	43005047
43006	43006071
43007	43007053
43008	43008059
43009	43009041
43010	43010042
43011	43011057
43012	43012050
43013	43013038
43014	43014031
43015	43015027
43016	43016033
43017	43017026
43018	43018040
43019	43019042
43020	43020031
43021	43021025
44001	44001026
44002	44002047
44003	44003026
44004	44004037
44005	44005042
44006	44006015
44007	44007060
44008	44008040
44009	44009043
44010	44010048
44011	44011030
44012	44012025
44013	44013052
44014	44014028
44015	44015041
44016	44016040
44017	44017034
44018	44018028
44019	44019041
44020	44020038
44021	44021040
44022	44022030
44023	44023035
44024	44024027
44025	44025027
44026	44026032
44027	44027044
44028	44028031
45001	45001032
45002	45002029
45003	45003031
45004	45004025
45005	45005021
45006	45006023
45007	45007025
45008	45008039
45009	45009033
45010	45010021
45011	45011036
45012	45012021
45013	45013014
45014	45014023
45015	45015033
45016	45016027
46001	46001031
46002	46002016
46003	46003023
46004	46004021
46005	46005013
46006	46006020
46007	46007040
46008	46008013
46009	46009027
46010	46010033
46011	46011034
46012	46012031
46013	46013013
46014	46014040
46015	46015058
46016	46016024
47001	47001024
47002	47002017
47003	47003018
47004	47004018
47005	47005021
47006	47006018
47007	47007016
47008	47008024
47009	47009015
47010	47010018
47011	47011033
47012	47012021
47013	47013014
48001	48001024
48002	48002021
48003	48003029
48004	48004031
48005	48005026
48006	48006018
49001	49001023
49002	49002022
49003	49003021
49004	49004032
49005	49005033
49006	49006024
50001	50001030
50002	50002030
50003	50003021
50004	50004023
51001	51001029
51002	51002023
51003	51003025
51004	51004018
52001	52001010
52002	52002020
52003	52003013
52004	52004018
52005	52005028
53001	53001012
53002	53002017
53003	53003018
54001	54001020
54002	54002015
54003	54003016
54004	54004016
54005	54005025
54006	54006021
55001	55001018
55002	55002026
55003	55003017
55004	55004022
56001	56001016
56002	56002015
56003	56003015
57001	57001025
58001	58001014
58002	58002018
58003	58003019
58004	58004016
58005	58005014
58006	58006020
58007	58007028
58008	58008013
58009	58009028
58010	58010039
58011	58011040
58012	58012029
58013	58013025
59001	59001027
59002	59002026
59003	59003018
59004	59004017
59005	59005020
60001	60001025
60002	60002025
60003	60003022
60004	60004019
60005	60005014
61001	61001021
61002	61002022
61003	61003018
62001	62001010
62002	62002029
62003	62003024
62004	62004021
62005	62005021
63001	63001013
64001	64001015
65001	65001025
66001	66001020
66002	66002029
66003	66003022
66004	66004011
66005	66005014
66006	66006017
66007	66007017
66008	66008013
66009	66009021
66010	66010011
66011	66011019
66012	66012018
66013	66013018
66014	66014020
66015	66015008
66016	66016021
66017	66017018
66018	66018024
66019	66019021
66020	66020015
66021	66021027
66022	66022021
